# guardian-snapshot v2
30 src/bom_resolve.zig|resolveIdentities
27 src/diagram/layout.zig|buildFreeRoute
26 src/diagram/layout.zig|separateGroupClusters
27 src/diagram/membership.zig|computeSubBlockAttachments
34 src/eval/builders.zig|buildPort
27 src/eval/builders.zig|parseSectionPort
28 src/eval/instance.zig|buildInstance
38 src/eval/power_budget.zig|analyze
28 src/export_kicad_footprint.zig|emitKicadPad
33 src/kicad_pcb/writer.zig|applyOpsCounted
36 src/placement/optimizer.zig|arrangeMacros
27 src/placement/optimizer.zig|assignSides
37 src/placement/optimizer.zig|packBoard
31 src/render_html.zig|writeRequirementsDetails
27 src/render_json.zig|renderSceneGraph
38 src/render_json.zig|serializeScene
29 src/render_svg/context.zig|synthesizeSpokeConnections
35 src/req_checks.zig|findVoltageForNet
36 src/serve/pcb_describe.zig|writeDescribeJson
27 src/serve/pcb_layout_page.zig|writePcbData
