# guardian-snapshot v2
10 src/bench_route.zig|BoardResult
8 src/board_review_state.zig|Entry
8 src/bom.zig|BomEntry
9 src/bom.zig|FlatInfo
8 src/diagram/layout.zig|PowerBox
8 src/diagram/layout.zig|Route
12 src/diagram/lod.zig|Entity
16 src/diagram/types.zig|Node
13 src/eval/env.zig|BoardSpec
15 src/eval/env.zig|Check
9 src/eval/env.zig|ClassRf
33 src/eval/env.zig|DesignBlock
13 src/eval/env.zig|DesignRulesSpec
9 src/eval/env.zig|ElectricalDecl
28 src/eval/env.zig|Instance
13 src/eval/env.zig|NetClassSpec
8 src/eval/env.zig|PdnIntent
10 src/eval/env.zig|PlaceholderPart
13 src/eval/env.zig|PlanWave
16 src/eval/env.zig|Port
10 src/eval/env.zig|PowerRail
14 src/eval/env.zig|Section
10 src/eval/env.zig|SectionPort
8 src/eval/env.zig|StackupSpec
8 src/eval/env.zig|Value
14 src/eval/evaluator.zig|ComponentData
28 src/eval/evaluator.zig|Evaluator
13 src/eval/instance.zig|ResolvedComponent
12 src/eval/power_budget.zig|Rail
8 src/export_gerber.zig|Layer
9 src/fab_readiness.zig|Stats
13 src/flat_netlist.zig|FlatInstance
8 src/font5x7.zig|BoardText
8 src/import_fold.zig|FoldResult
12 src/import_kicad.zig|ImportSummary
12 src/import_kicad.zig|Part
10 src/kicad_pcb/board_state.zig|BoardFp
12 src/kicad_pcb/experiment.zig|CandidateScore
8 src/kicad_pcb/project_rules.zig|DesignRules
9 src/kicad_pcb/project_rules.zig|NetClass
9 src/kicad_pcb/snapshot.zig|Footprint
10 src/kicad_pcb/snapshot.zig|Pad
12 src/kicad_pcb/snapshot.zig|Snapshot
12 src/kicad_pcb/snapshot.zig|Summary
10 src/kicad_pcb/snapshot.zig|Zone
10 src/kicad_pcb/writer.zig|ApplyStats
14 src/layout_sidecar_types.zig|SavedHeatsink
14 src/layout_sidecar_types.zig|SavedLayout
8 src/layout_sidecar_types.zig|SavedOutline
12 src/layout_sidecar_types.zig|SavedTrack
10 src/layout_sidecar_types.zig|SavedVia
8 src/placement/copper_support.zig|Zone
8 src/placement/drc.zig|Parties
8 src/placement/drc.zig|Violation
8 src/placement/gap_policy.zig|GapOptions
13 src/placement/geometry.zig|Pad
8 src/placement/impedance_rules.zig|Physical
12 src/placement/net_rules.zig|NetRule
9 src/placement/net_rules.zig|Rf
9 src/placement/optimizer.zig|BoardRules
9 src/placement/optimizer.zig|Breakdown
13 src/placement/optimizer.zig|DesignRules
8 src/placement/optimizer.zig|Link
12 src/placement/optimizer.zig|Loop
16 src/placement/optimizer.zig|Params
17 src/placement/optimizer.zig|Part
23 src/placement/optimizer.zig|Placement
8 src/placement/pad_grid.zig|PadObs
18 src/placement/pdn_impedance.zig|Capacitor
15 src/placement/pdn_impedance.zig|Rail
8 src/placement/plan_resolve.zig|ResolvedWave
8 src/placement/pour.zig|Grid
8 src/placement/pour.zig|PadQuery
8 src/placement/progress.zig|Inputs
11 src/placement/route_policy.zig|Options
14 src/placement/route_result.zig|RouteResult
10 src/placement/route_timing.zig|PhaseTimer
8 src/placement/thermal_field.zig|Heatsink
8 src/placement/thermal_field.zig|HeatsinkGeometry
8 src/placement/thermal_field.zig|PartField
8 src/placement/thermal_field.zig|PartInput
10 src/placement/thermal_field.zig|ScenarioResult
24 src/pll_loop.zig|Profile
9 src/pll_loop.zig|Results
24 src/render_pcb_png.zig|Options
14 src/render_svg/context.zig|FlatInst
18 src/render_svg/context.zig|RenderCtx
13 src/review.zig|ReviewDoc
10 src/review.zig|SectionReport
14 src/review.zig|Summary
9 src/serve.zig|ServerState
10 src/serve/digikey.zig|Product
12 src/serve/library.zig|LibraryRow
14 src/serve/mcp_tools.zig|DesignSummary
27 src/serve/pcb_layout_page.zig|PngRequest
8 src/serve/pcb_layout_page.zig|SavedZone
9 src/serve/pcb_layout_page.zig|SolvedRequest
8 src/serve/saved_zone.zig|SavedZone
9 src/shape_sketch.zig|Constraint
8 src/subcircuit_silkscreen.zig|Annotation
9 src/system_review.zig|DocumentSpec
9 src/system_review.zig|SystemSpec
8 src/thermal_scenarios.zig|Row
